column,dtype,n_unique,kind
gender,str,2,categorical
SeniorCitizen,str,2,categorical
Partner,str,2,categorical
Dependents,str,2,categorical
tenure,int64,73,numeric
PhoneService,str,2,categorical
MultipleLines,str,3,categorical
InternetService,str,3,categorical
OnlineSecurity,str,3,categorical
OnlineBackup,str,3,categorical
DeviceProtection,str,3,categorical
TechSupport,str,3,categorical
StreamingTV,str,3,categorical
StreamingMovies,str,3,categorical
Contract,str,3,categorical
PaperlessBilling,str,2,categorical
PaymentMethod,str,4,categorical
MonthlyCharges,float64,1585,numeric
TotalCharges,float64,6531,numeric
Churn,int64,2,numeric
num_addon_services,int64,7,numeric
tenure_group,str,5,categorical
charge_consistency_ratio,float64,6418,numeric
