column,cramers_v
Contract,0.40979839182553446
tenure_group,0.3511800903014034
OnlineSecurity,0.34701606688272874
TechSupport,0.3425261587493695
InternetService,0.3220367323307425
PaymentMethod,0.3026771381187204
OnlineBackup,0.291850036724674
DeviceProtection,0.28109492388964397
StreamingMovies,0.23035147282444215
StreamingTV,0.22990176915403474
PaperlessBilling,0.19146842738873
Dependents,0.16380010283590032
SeniorCitizen,0.15042871285200934
Partner,0.14998550986615822
MultipleLines,0.03639958908232507
PhoneService,0.0007783706471916932
gender,0.0
