removed_column,auc_without_column,auc_drop_vs_baseline
Contract,0.839584594920687,0.006200207450517525
tenure,0.8428277945328848,0.0029570078383197584
PaperlessBilling,0.8446287125861325,0.0011560897850720897
PaymentMethod,0.8447735624258221,0.0010112399453824361
TotalCharges,0.8452162448590348,0.0005685575121697761
tenure_group,0.845332817741663,0.0004519846295415464
SeniorCitizen,0.8455818586282013,0.00020294374300322549
MultipleLines,0.8456133577250855,0.00017144464611906773
InternetService,0.8456945400940279,9.026227717667812e-05
Dependents,0.8457193149609727,6.54874102318237e-05
StreamingTV,0.8457672370167428,1.7565354461734906e-05
StreamingMovies,0.8457848317388311,-2.9367626552812e-08
gender,0.8457961244900778,-1.1322118873224873e-05
PhoneService,0.8457987381311274,-1.3935759922811819e-05
num_addon_services,0.8458013455575788,-1.6543186374229357e-05
DeviceProtection,0.8458028494367253,-1.8047065520776506e-05
OnlineBackup,0.8458333498628379,-4.854749163329952e-05
TechSupport,0.8458391060341593,-5.430366295477995e-05
OnlineSecurity,0.8458524964714744,-6.7694100269855e-05
charge_consistency_ratio,0.8458922978574268,-0.00010749548622224214
MonthlyCharges,0.8459295995964649,-0.0001447972252602847
Partner,0.8459393785284233,-0.00015457615721869988
