column,solo_auc
tenure,0.7398303802111902
Contract,0.739001539626013
tenure_group,0.7209968674180417
OnlineSecurity,0.7053568976989233
TechSupport,0.7033407940159175
InternetService,0.6952152294045618
OnlineBackup,0.6778099038866137
PaymentMethod,0.6713971066844078
DeviceProtection,0.6708193306305079
TotalCharges,0.6502514074199506
StreamingMovies,0.6212413476061107
MonthlyCharges,0.6207527965354046
StreamingTV,0.6198495319385977
PaperlessBilling,0.6067513727328078
Dependents,0.5851869225125353
Partner,0.5851402296879196
SeniorCitizen,0.5629801991026981
num_addon_services,0.5382506541230523
MultipleLines,0.5215522859195388
charge_consistency_ratio,0.5057009758743155
gender,0.5048840403511086
PhoneService,0.5040005510608291
