column,missing_ratio,top_value_ratio,drop_missing,drop_constant
customerID,0.0,0.0001419849495953429,False,False
gender,0.0,0.504756495811444,False,False
SeniorCitizen,0.0,0.8378531875621185,False,False
Partner,0.0,0.5169672014766434,False,False
Dependents,0.0,0.7004117563538265,False,False
tenure,0.0,0.0870367741019452,False,False
PhoneService,0.0,0.9031662643759761,False,True
MultipleLines,0.0,0.48132897912821243,False,False
InternetService,0.0,0.4395854039471816,False,False
OnlineSecurity,0.0,0.4966633536845094,False,False
OnlineBackup,0.0,0.43844952435041884,False,False
DeviceProtection,0.0,0.43944341899758627,False,False
TechSupport,0.0,0.4931137299446259,False,False
StreamingTV,0.0,0.3989777083629135,False,False
StreamingMovies,0.0,0.39542808462303,False,False
Contract,0.0,0.5501916796819537,False,False
PaperlessBilling,0.0,0.5922192247621753,False,False
PaymentMethod,0.0,0.3357944057929859,False,False
MonthlyCharges,0.0,0.008661081925315917,False,False
TotalCharges,0.0,0.001561834445548772,False,False
Churn,0.0,0.7346301292063041,False,False
num_addon_services,0.0,0.31506460315206586,False,False
tenure_group,0.0,0.31037909981541956,False,False
charge_consistency_ratio,0.0,0.0887405934970893,False,False
